sku,source_code,name,brand,size,price,product_type,file_category,file_confidence,final_category,final_slug,confidence,reason,evidence_basis,review_status,review_reason,reviewed_at,stage2_status,tree,is_pilot10,corrected_from_excel,in_original_focus350
ARD-3617,3617,معطر دبدوب مني كرستال وايت مسك,Mini Crystal,,4000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,المسك والمخمريات والعطور الزيتية,musk-oils-mukhammaria,high,explicit musk/oil/mukhammaria,name=معطر دبدوب مني كرستال وايت مسك; product_type=معطر دبدوب,corrected,explicit musk/oil/mukhammaria,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-3618,3618,معطر دبدوب مني كرستال بور هومي لاكسي,Mini Crystal,,4000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=معطر دبدوب مني كرستال بور هومي لاكسي; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-3619,3619,معطر دبدوب مني كرستال شالينه 24,Mini Crystal,,4000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=معطر دبدوب مني كرستال شالينه 24; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-3620,3620,معطر دبدوب مني كرستال سلفر كرستال,Mini Crystal,,4000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=معطر دبدوب مني كرستال سلفر كرستال; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-3621,3621,معطر دبدوب مني كرستال بولرينه,Mini Crystal,,4000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=معطر دبدوب مني كرستال بولرينه; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-3622,3622,معطر دبدوب مني كرستال سافيور,Mini Crystal,,5000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=معطر دبدوب مني كرستال سافيور; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-3623,3623,معطر دبدوب مني كرستال بلاك دايموند,Mini Crystal,,4000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=معطر دبدوب مني كرستال بلاك دايموند; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-3624,3624,معطر دبدوب مني كرستال ادفانجر,Mini Crystal,,4000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=معطر دبدوب مني كرستال ادفانجر; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-2266,2266,منظف دبدوب ايليت,دار المسك,,6000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=منظف دبدوب ايليت; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-2267,2267,منظف دبدوب ارجوان,دار المسك,,6000,معطر دبدوب,معطرات المنزل والمفارش والجو,medium,معطرات المنزل والمفارش والجو,home-linen-air,medium,workbook category retained after rules miss,name=منظف دبدوب ارجوان; product_type=معطر دبدوب,approved,workbook category retained after rules miss,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
